Level,Div Num,Div Name,Subject,Subgroup,2015-2016 Pass Rate,2016-2017 Pass Rate,2017-2018 Pass Rate, 
Div,2,Albemarle County,History and Social Sciences,English Learners,63,65,57, 
Div,2,Albemarle County,Mathematics,English Learners,60,60,56, 
Div,2,Albemarle County,Science,English Learners,49,50,46, 
Div,2,Albemarle County,English: Reading,Female,82,83,82, 
Div,2,Albemarle County,English: Writing,Female,88,89,84, 
Div,2,Albemarle County,History and Social Sciences,Female,84,84,81, 
Div,2,Albemarle County,Mathematics,Female,80,79,78, 
Div,2,Albemarle County,Science,Female,83,82,80, 
Div,2,Albemarle County,English: Reading,Hispanic,59,58,53, 
Div,2,Albemarle County,English: Writing,Hispanic,65,61,58, 
Div,2,Albemarle County,History and Social Sciences,Hispanic,70,68,64, 
Div,2,Albemarle County,Mathematics,Hispanic,62,62,58, 
Div,2,Albemarle County,Science,Hispanic,63,58,59, 
Div,2,Albemarle County,English: Reading,Male,77,77,76, 
Div,2,Albemarle County,English: Writing,Male,76,76,78, 
Div,2,Albemarle County,History and Social Sciences,Male,84,85,82, 
Div,2,Albemarle County,Mathematics,Male,77,75,75, 
Div,2,Albemarle County,Science,Male,81,81,79, 
Div,2,Albemarle County,English: Reading,Students with Disabilities,42,41,41, 
Div,2,Albemarle County,English: Writing,Students with Disabilities,47,44,42, 
Div,2,Albemarle County,History and Social Sciences,Students with Disabilities,52,54,52, 
Div,2,Albemarle County,Mathematics,Students with Disabilities,42,43,44, 
Div,2,Albemarle County,Science,Students with Disabilities,46,49,45, 
Div,2,Albemarle County,English: Reading,White,87,87,87, 
Div,2,Albemarle County,English: Writing,White,88,89,87, 
Div,2,Albemarle County,History and Social Sciences,White,90,90,87, 
Div,2,Albemarle County,Mathematics,White,85,84,83, 
Div,2,Albemarle County,Science,White,90,89,87, 
Div,101,Alexandria City,English: Reading,All Students,73,71,69, 
Div,101,Alexandria City,English: Writing,All Students,69,68,72, 
Div,101,Alexandria City,History and Social Sciences,All Students,77,76,75, 
Div,101,Alexandria City,Mathematics,All Students,68,66,61, 
Div,101,Alexandria City,Science,All Students,69,68,69, 
Div,101,Alexandria City,English: Reading,Asian,86,77,75, 
Div,101,Alexandria City,English: Writing,Asian,88,81,78, 
Div,101,Alexandria City,History and Social Sciences,Asian,88,87,85, 
Div,101,Alexandria City,Mathematics,Asian,82,79,75, 
Div,101,Alexandria City,Science,Asian,80,74,78, 
Div,101,Alexandria City,English: Reading,Black,67,66,67, 
Div,101,Alexandria City,English: Writing,Black,66,65,65, 
Div,101,Alexandria City,History and Social Sciences,Black,71,73,73, 
Div,101,Alexandria City,Mathematics,Black,61,60,57, 
Div,101,Alexandria City,Science,Black,66,66,65, 
Div,101,Alexandria City,English: Reading,Economically Disadvantaged,63,60,56, 
Div,101,Alexandria City,English: Writing,Economically Disadvantaged,59,55,60, 
Div,101,Alexandria City,History and Social Sciences,Economically Disadvantaged,68,67,66, 
Div,101,Alexandria City,Mathematics,Economically Disadvantaged,57,55,50, 
Div,101,Alexandria City,Science,Economically Disadvantaged,58,55,58, 
Div,101,Alexandria City,English: Reading,English Learners,57,57,50, 
Div,101,Alexandria City,English: Writing,English Learners,38,38,40, 
Div,101,Alexandria City,History and Social Sciences,English Learners,59,61,56, 
Div,101,Alexandria City,Mathematics,English Learners,55,54,49, 
Div,101,Alexandria City,Science,English Learners,45,46,47, 
Div,101,Alexandria City,English: Reading,Female,77,76,73, 
Div,101,Alexandria City,English: Writing,Female,76,74,78, 
Div,101,Alexandria City,History and Social Sciences,Female,77,79,76, 
Div,101,Alexandria City,Mathematics,Female,71,69,65, 
Div,101,Alexandria City,Science,Female,71,70,72, 
Div,101,Alexandria City,English: Reading,Hispanic,61,58,52, 
Div,101,Alexandria City,English: Writing,Hispanic,55,53,61, 
Div,101,Alexandria City,History and Social Sciences,Hispanic,67,64,62, 
Div,101,Alexandria City,Mathematics,Hispanic,55,52,46, 
Div,101,Alexandria City,Science,Hispanic,55,52,54, 
Div,101,Alexandria City,English: Reading,Male,69,66,64, 
Div,101,Alexandria City,English: Writing,Male,63,63,66, 
Div,101,Alexandria City,History and Social Sciences,Male,76,73,74, 
Div,101,Alexandria City,Mathematics,Male,65,62,58, 
Div,101,Alexandria City,Science,Male,68,66,66, 
Div,101,Alexandria City,English: Reading,Students with Disabilities,42,39,35, 
Div,101,Alexandria City,English: Writing,Students with Disabilities,35,29,37, 
Div,101,Alexandria City,History and Social Sciences,Students with Disabilities,46,47,45, 
Div,101,Alexandria City,Mathematics,Students with Disabilities,34,32,29, 
Div,101,Alexandria City,Science,Students with Disabilities,40,36,39, 
Div,101,Alexandria City,English: Reading,White,92,91,89, 
Div,101,Alexandria City,English: Writing,White,92,91,90, 
Div,101,Alexandria City,History and Social Sciences,White,94,94,91, 
Div,101,Alexandria City,Mathematics,White,89,88,84, 
Div,101,Alexandria City,Science,White,91,90,91, 
Div,3,Alleghany County,English: Reading,All Students,74,74,74, 
Div,3,Alleghany County,English: Writing,All Students,72,69,72, 
Div,3,Alleghany County,History and Social Sciences,All Students,85,81,79, 
Div,3,Alleghany County,Mathematics,All Students,75,70,72, 
Div,3,Alleghany County,Science,All Students,80,73,79, 
Div,3,Alleghany County,English: Reading,Asian,70,73,<, 
Div,3,Alleghany County,English: Writing,Asian,<,<,<, 
Div,3,Alleghany County,History and Social Sciences,Asian,<,<,<, 
Div,3,Alleghany County,Mathematics,Asian,100,55,73, 
Div,3,Alleghany County,Science,Asian,<,<,<, 
Div,3,Alleghany County,English: Reading,Black,59,63,48, 
Div,3,Alleghany County,English: Writing,Black,78,53,48, 
Div,3,Alleghany County,History and Social Sciences,Black,68,69,61, 
Div,3,Alleghany County,Mathematics,Black,60,55,52, 
Div,3,Alleghany County,Science,Black,67,53,65, 
Div,3,Alleghany County,English: Reading,Economically Disadvantaged,65,66,66, 
Div,3,Alleghany County,English: Writing,Economically Disadvantaged,59,60,65, 
Div,3,Alleghany County,History and Social Sciences,Economically Disadvantaged,78,74,75, 
Div,3,Alleghany County,Mathematics,Economically Disadvantaged,67,61,64, 
Div,3,Alleghany County,Science,Economically Disadvantaged,73,66,76, 
Div,3,Alleghany County,English: Reading,English Learners,<,<,<, 
Div,3,Alleghany County,English: Writing,English Learners,<,-,<, 
Div,3,Alleghany County,History and Social Sciences,English Learners,<,<,<, 
Div,3,Alleghany County,Mathematics,English Learners,-,<,<, 
Div,3,Alleghany County,Science,English Learners,<,<,<, 
Div,3,Alleghany County,English: Reading,Female,77,78,76, 
Div,3,Alleghany County,English: Writing,Female,75,80,82, 
Div,3,Alleghany County,History and Social Sciences,Female,86,82,77, 
Div,3,Alleghany County,Mathematics,Female,79,73,75, 
Div,3,Alleghany County,Science,Female,80,72,78, 
Div,3,Alleghany County,English: Reading,Hispanic,84,75,83, 
Div,3,Alleghany County,English: Writing,Hispanic,<,<,<, 
Div,3,Alleghany County,History and Social Sciences,Hispanic,92,<,82, 
Div,3,Alleghany County,Mathematics,Hispanic,76,65,81, 
Div,3,Alleghany County,Science,Hispanic,79,53,<, 
Div,3,Alleghany County,English: Reading,Male,71,71,72, 
Div,3,Alleghany County,English: Writing,Male,69,57,63, 
Div,3,Alleghany County,History and Social Sciences,Male,84,81,82, 
Div,3,Alleghany County,Mathematics,Male,72,67,69, 
Div,3,Alleghany County,Science,Male,79,73,80, 
Div,3,Alleghany County,English: Reading,Students with Disabilities,36,30,44, 
Div,3,Alleghany County,English: Writing,Students with Disabilities,23,22,30, 
Div,3,Alleghany County,History and Social Sciences,Students with Disabilities,56,45,49, 
Div,3,Alleghany County,Mathematics,Students with Disabilities,34,35,40, 
Div,3,Alleghany County,Science,Students with Disabilities,43,34,48, 
Div,3,Alleghany County,English: Reading,White,75,76,77, 
Div,3,Alleghany County,English: Writing,White,73,70,74, 
Div,3,Alleghany County,History and Social Sciences,White,86,83,81, 
Div,3,Alleghany County,Mathematics,White,76,73,74, 
Div,3,Alleghany County,Science,White,81,76,80, 
Div,4,Amelia County,English: Reading,All Students,76,78,76, 
Div,4,Amelia County,English: Writing,All Students,67,78,80, 
Div,4,Amelia County,History and Social Sciences,All Students,84,85,81, 
Div,4,Amelia County,Mathematics,All Students,80,83,79, 
Div,4,Amelia County,Science,All Students,78,80,77, 
Div,4,Amelia County,English: Reading,Asian,<,<,<, 
Div,4,Amelia County,English: Writing,Asian,<,<,<, 
Div,4,Amelia County,History and Social Sciences,Asian,<,<,<, 
Div,4,Amelia County,Mathematics,Asian,<,<,<, 
Div,4,Amelia County,Science,Asian,<,<,<, 
Div,4,Amelia County,English: Reading,Black,61,61,64, 
Div,4,Amelia County,English: Writing,Black,61,60,58, 
Div,4,Amelia County,History and Social Sciences,Black,74,74,72, 
Div,4,Amelia County,Mathematics,Black,72,70,68, 
Div,4,Amelia County,Science,Black,62,66,59, 
Div,4,Amelia County,English: Reading,Economically Disadvantaged,68,68,67, 
Div,4,Amelia County,English: Writing,Economically Disadvantaged,60,63,72, 
Div,4,Amelia County,History and Social Sciences,Economically Disadvantaged,75,78,72, 
Div,4,Amelia County,Mathematics,Economically Disadvantaged,72,76,71, 
Div,4,Amelia County,Science,Economically Disadvantaged,69,70,67, 
Div,4,Amelia County,English: Reading,English Learners,76,71,81, 
Div,4,Amelia County,English: Writing,English Learners,<,<,<, 
Div,4,Amelia County,History and Social Sciences,English Learners,85,90,88, 
Div,4,Amelia County,Mathematics,English Learners,83,82,79, 
Div,4,Amelia County,Science,English Learners,67,78,84, 
Div,4,Amelia County,English: Reading,Female,81,82,80, 
Div,4,Amelia County,English: Writing,Female,76,82,88, 
Div,4,Amelia County,History and Social Sciences,Female,83,85,80, 
Div,4,Amelia County,Mathematics,Female,84,86,83, 
Div,4,Amelia County,Science,Female,76,79,77, 
Div,4,Amelia County,English: Reading,Hispanic,78,78,77, 
Div,4,Amelia County,English: Writing,Hispanic,<,<,87, 
Div,4,Amelia County,History and Social Sciences,Hispanic,87,91,86, 
Div,4,Amelia County,Mathematics,Hispanic,77,87,80, 
Div,4,Amelia County,Science,Hispanic,65,82,78, 
Div,4,Amelia County,English: Reading,Male,72,73,73, 
Div,4,Amelia County,English: Writing,Male,60,74,71, 
Div,4,Amelia County,History and Social Sciences,Male,85,84,82, 
Div,4,Amelia County,Mathematics,Male,77,79,75, 
Div,4,Amelia County,Science,Male,81,81,78, 
Div,4,Amelia County,English: Reading,Students with Disabilities,39,32,37, 
Div,4,Amelia County,English: Writing,Students with Disabilities,50,38,19, 
Div,4,Amelia County,History and Social Sciences,Students with Disabilities,55,45,49, 
Div,4,Amelia County,Mathematics,Students with Disabilities,36,42,45, 
Div,4,Amelia County,Science,Students with Disabilities,50,41,41, 
Div,4,Amelia County,English: Reading,White,82,83,81, 
Div,4,Amelia County,English: Writing,White,70,82,86, 
Div,4,Amelia County,History and Social Sciences,White,89,88,84, 
Div,4,Amelia County,Mathematics,White,84,87,83, 
Div,4,Amelia County,Science,White,86,86,84, 
Div,5,Amherst County,English: Reading,All Students,77,79,78, 
Div,5,Amherst County,English: Writing,All Students,73,78,78, 
Div,5,Amherst County,History and Social Sciences,All Students,81,84,80, 
Div,5,Amherst County,Mathematics,All Students,75,75,71, 
Div,5,Amherst County,Science,All Students,82,80,82, 
Div,5,Amherst County,English: Reading,Asian,<,<,90, 
Div,5,Amherst County,English: Writing,Asian,<,<,<, 
Div,5,Amherst County,History and Social Sciences,Asian,<,<,83, 
Div,5,Amherst County,Mathematics,Asian,92,85,81, 
Div,5,Amherst County,Science,Asian,100,100,91, 
Div,5,Amherst County,English: Reading,Black,65,66,67, 
Div,5,Amherst County,English: Writing,Black,56,60,68, 
Div,5,Amherst County,History and Social Sciences,Black,70,74,69, 
Div,5,Amherst County,Mathematics,Black,64,65,57, 
Div,5,Amherst County,Science,Black,69,70,71, 
Div,5,Amherst County,English: Reading,Economically Disadvantaged,69,72,71, 
Div,5,Amherst County,English: Writing,Economically Disadvantaged,65,69,71, 
Div,5,Amherst County,History and Social Sciences,Economically Disadvantaged,76,77,72, 
Div,5,Amherst County,Mathematics,Economically Disadvantaged,70,68,63, 
Div,5,Amherst County,Science,Economically Disadvantaged,75,73,75, 
Div,5,Amherst County,English: Reading,English Learners,64,<,50, 
Div,5,Amherst County,English: Writing,English Learners,<,-,<, 
Div,5,Amherst County,History and Social Sciences,English Learners,<,<,<, 
Div,5,Amherst County,Mathematics,English Learners,38,64,53, 
Div,5,Amherst County,Science,English Learners,<,<,<, 
Div,5,Amherst County,English: Reading,Female,80,82,81, 
Div,5,Amherst County,English: Writing,Female,77,86,86, 
Div,5,Amherst County,History and Social Sciences,Female,80,82,79, 
Div,5,Amherst County,Mathematics,Female,78,76,72, 
Div,5,Amherst County,Science,Female,82,80,81, 
Div,5,Amherst County,English: Reading,Hispanic,90,74,77, 
Div,5,Amherst County,English: Writing,Hispanic,85,100,79, 
Div,5,Amherst County,History and Social Sciences,Hispanic,82,95,80, 
Div,5,Amherst County,Mathematics,Hispanic,78,78,67, 
Div,5,Amherst County,Science,Hispanic,85,82,78, 
Div,5,Amherst County,English: Reading,Male,74,75,75, 
Div,5,Amherst County,English: Writing,Male,70,71,70, 
Div,5,Amherst County,History and Social Sciences,Male,81,85,82, 
Div,5,Amherst County,Mathematics,Male,72,73,69, 
Div,5,Amherst County,Science,Male,83,80,83, 
Div,5,Amherst County,English: Reading,Students with Disabilities,47,56,55, 
Div,5,Amherst County,English: Writing,Students with Disabilities,39,37,45, 
Div,5,Amherst County,History and Social Sciences,Students with Disabilities,51,62,56, 
Div,5,Amherst County,Mathematics,Students with Disabilities,49,50,48, 
Div,5,Amherst County,Science,Students with Disabilities,59,48,54, 
Div,5,Amherst County,English: Reading,White,80,83,82, 
Div,5,Amherst County,English: Writing,White,80,83,82, 
Div,5,Amherst County,History and Social Sciences,White,85,86,84, 
Div,5,Amherst County,Mathematics,White,79,78,75, 
Div,5,Amherst County,Science,White,87,84,86, 
Div,6,Appomattox County,English: Reading,All Students,80,81,81, 
Div,6,Appomattox County,English: Writing,All Students,71,80,84, 
Div,6,Appomattox County,History and Social Sciences,All Students,85,86,88, 
Div,6,Appomattox County,Mathematics,All Students,85,82,82, 
Div,6,Appomattox County,Science,All Students,86,86,81, 
Div,6,Appomattox County,English: Reading,Asian,<,<,<, 
Div,6,Appomattox County,English: Writing,Asian,<,<,<, 
Div,6,Appomattox County,History and Social Sciences,Asian,<,<,<, 
Div,6,Appomattox County,Mathematics,Asian,<,<,<, 
Div,6,Appomattox County,Science,Asian,<,<,<, 
Div,6,Appomattox County,English: Reading,Black,69,64,68, 
Div,6,Appomattox County,English: Writing,Black,60,63,77, 
Div,6,Appomattox County,History and Social Sciences,Black,77,80,84, 
Div,6,Appomattox County,Mathematics,Black,77,71,75, 
Div,6,Appomattox County,Science,Black,74,76,66, 
Div,6,Appomattox County,English: Reading,Economically Disadvantaged,72,73,73, 
Div,6,Appomattox County,English: Writing,Economically Disadvantaged,61,70,74, 
Div,6,Appomattox County,History and Social Sciences,Economically Disadvantaged,78,79,81, 
Div,6,Appomattox County,Mathematics,Economically Disadvantaged,78,73,74, 
Div,6,Appomattox County,Science,Economically Disadvantaged,77,79,71, 
Div,6,Appomattox County,English: Reading,English Learners,<,<,<, 
Div,6,Appomattox County,English: Writing,English Learners,-,<,-,
Div,6,Appomattox County,History and Social Sciences,English Learners,<,<,<, 
Div,6,Appomattox County,Mathematics,English Learners,<,<,<, 
Div,6,Appomattox County,Science,English Learners,<,<,-,
Div,6,Appomattox County,English: Reading,Female,85,83,84, 
Div,6,Appomattox County,English: Writing,Female,77,83,90, 
Div,6,Appomattox County,History and Social Sciences,Female,88,86,89, 
Div,6,Appomattox County,Mathematics,Female,88,84,85, 
Div,6,Appomattox County,Science,Female,88,88,83, 
Div,6,Appomattox County,English: Reading,Hispanic,68,71,73, 
Div,6,Appomattox County,English: Writing,Hispanic,<,80,<, 
Div,6,Appomattox County,History and Social Sciences,Hispanic,88,100,83, 
Div,6,Appomattox County,Mathematics,Hispanic,77,70,78, 
Div,6,Appomattox County,Science,Hispanic,100,75,70, 
Div,6,Appomattox County,English: Reading,Male,76,79,79, 
Div,6,Appomattox County,English: Writing,Male,65,77,78, 
Div,6,Appomattox County,History and Social Sciences,Male,83,86,86, 
Div,6,Appomattox County,Mathematics,Male,82,81,80, 
Div,6,Appomattox County,Science,Male,84,83,79, 
Div,6,Appomattox County,English: Reading,Students with Disabilities,40,43,48, 
Div,6,Appomattox County,English: Writing,Students with Disabilities,21,52,48, 
Div,6,Appomattox County,History and Social Sciences,Students with Disabilities,44,54,59, 
Div,6,Appomattox County,Mathematics,Students with Disabilities,43,43,50, 
Div,6,Appomattox County,Science,Students with Disabilities,35,54,46, 
Div,6,Appomattox County,English: Reading,White,85,88,86, 
Div,6,Appomattox County,English: Writing,White,74,85,87, 
Div,6,Appomattox County,History and Social Sciences,White,88,89,90, 
Div,6,Appomattox County,Mathematics,White,88,87,86, 
Div,6,Appomattox County,Science,White,90,90,86, 
Div,7,Arlington County,English: Reading,All Students,87,87,84, 
Div,7,Arlington County,English: Writing,All Students,85,86,86, 
Div,7,Arlington County,History and Social Sciences,All Students,88,88,86, 
Div,7,Arlington County,Mathematics,All Students,87,86,83, 
Div,7,Arlington County,Science,All Students,86,86,84, 
Div,7,Arlington County,English: Reading,Asian,90,90,87, 
Div,7,Arlington County,English: Writing,Asian,88,89,89, 
Div,7,Arlington County,History and Social Sciences,Asian,92,90,91, 
Div,7,Arlington County,Mathematics,Asian,91,91,89, 
Div,7,Arlington County,Science,Asian,88,87,87, 
Div,7,Arlington County,English: Reading,Black,74,76,73, 
Div,7,Arlington County,English: Writing,Black,71,72,73, 
Div,7,Arlington County,History and Social Sciences,Black,76,77,71, 
Div,7,Arlington County,Mathematics,Black,75,76,71, 
Div,7,Arlington County,Science,Black,73,75,72, 
Div,7,Arlington County,English: Reading,Economically Disadvantaged,71,70,63, 
Div,7,Arlington County,English: Writing,Economically Disadvantaged,69,70,71, 
Div,7,Arlington County,History and Social Sciences,Economically Disadvantaged,72,71,68, 
Div,7,Arlington County,Mathematics,Economically Disadvantaged,73,72,68, 
Div,7,Arlington County,Science,Economically Disadvantaged,70,68,67, 
Div,7,Arlington County,English: Reading,English Learners,66,69,61, 
Div,7,Arlington County,English: Writing,English Learners,55,64,60, 
Div,7,Arlington County,History and Social Sciences,English Learners,64,68,64, 
Div,7,Arlington County,Mathematics,English Learners,72,73,68, 
Div,7,Arlington County,Science,English Learners,59,63,61, 
Div,7,Arlington County,English: Reading,Female,88,89,86, 
Div,7,Arlington County,English: Writing,Female,88,89,89, 
Div,7,Arlington County,History and Social Sciences,Female,87,87,86, 
Div,7,Arlington County,Mathematics,Female,87,87,84, 
Div,7,Arlington County,Science,Female,86,85,85, 
Div,7,Arlington County,English: Reading,Hispanic,73,73,67, 
Div,7,Arlington County,English: Writing,Hispanic,71,76,72, 
Div,7,Arlington County,History and Social Sciences,Hispanic,75,74,70, 
Div,7,Arlington County,Mathematics,Hispanic,75,74,69, 
Div,7,Arlington County,Science,Hispanic,74,71,70, 
Div,7,Arlington County,English: Reading,Male,85,85,82, 
Div,7,Arlington County,English: Writing,Male,82,83,83, 
Div,7,Arlington County,History and Social Sciences,Male,88,88,86, 
Div,7,Arlington County,Mathematics,Male,86,86,83, 
Div,7,Arlington County,Science,Male,86,86,84, 
Div,7,Arlington County,English: Reading,Students with Disabilities,60,60,55, 
Div,7,Arlington County,English: Writing,Students with Disabilities,51,57,53, 
Div,7,Arlington County,History and Social Sciences,Students with Disabilities,67,65,62, 
Div,7,Arlington County,Mathematics,Students with Disabilities,62,60,55, 
Div,7,Arlington County,Science,Students with Disabilities,66,62,59, 
Div,7,Arlington County,English: Reading,White,95,95,95, 
Div,7,Arlington County,English: Writing,White,95,94,94, 
Div,7,Arlington County,History and Social Sciences,White,97,96,95, 
Div,7,Arlington County,Mathematics,White,94,94,93, 
Div,7,Arlington County,Science,White,96,96,95, 
Div,8,Augusta County,English: Reading,All Students,76,78,78, 
Div,8,Augusta County,English: Writing,All Students,74,77,79, 
Div,8,Augusta County,History and Social Sciences,All Students,89,88,88, 
Div,8,Augusta County,Mathematics,All Students,81,81,79, 
Div,8,Augusta County,Science,All Students,85,84,84, 
Div,8,Augusta County,English: Reading,Asian,84,83,77, 
Div,8,Augusta County,English: Writing,Asian,100,93,80, 
Div,8,Augusta County,History and Social Sciences,Asian,100,95,94, 
Div,8,Augusta County,Mathematics,Asian,89,92,88, 
Div,8,Augusta County,Science,Asian,94,89,86, 
Div,8,Augusta County,English: Reading,Black,63,73,72, 
Div,8,Augusta County,English: Writing,Black,75,64,76, 
Div,8,Augusta County,History and Social Sciences,Black,76,75,81, 
Div,8,Augusta County,Mathematics,Black,65,69,67, 
Div,8,Augusta County,Science,Black,71,65,80, 
Div,8,Augusta County,English: Reading,Economically Disadvantaged,62,65,68, 
Div,8,Augusta County,English: Writing,Economically Disadvantaged,61,64,69, 
Div,8,Augusta County,History and Social Sciences,Economically Disadvantaged,80,78,80, 
Div,8,Augusta County,Mathematics,Economically Disadvantaged,71,70,68, 
Div,8,Augusta County,Science,Economically Disadvantaged,76,71,74, 
Div,8,Augusta County,English: Reading,English Learners,50,61,64, 
Div,8,Augusta County,English: Writing,English Learners,27,60,58, 
Div,8,Augusta County,History and Social Sciences,English Learners,73,71,79, 
Div,8,Augusta County,Mathematics,English Learners,72,77,74, 
Div,8,Augusta County,Science,English Learners,66,60,66, 
Div,8,Augusta County,English: Reading,Female,78,81,81, 
Div,8,Augusta County,English: Writing,Female,79,84,85, 
Div,8,Augusta County,History and Social Sciences,Female,87,87,87, 
Div,8,Augusta County,Mathematics,Female,82,82,81, 
Div,8,Augusta County,Science,Female,83,84,84, 
Div,8,Augusta County,English: Reading,Hispanic,68,64,71, 
Div,8,Augusta County,English: Writing,Hispanic,70,65,65, 
Div,8,Augusta County,History and Social Sciences,Hispanic,84,80,84, 
Div,8,Augusta County,Mathematics,Hispanic,80,79,72, 
Div,8,Augusta County,Science,Hispanic,82,72,75, 
Div,8,Augusta County,English: Reading,Male,73,75,76, 
Div,8,Augusta County,English: Writing,Male,68,71,74, 
Div,8,Augusta County,History and Social Sciences,Male,90,90,89, 
Div,8,Augusta County,Mathematics,Male,80,80,77, 
Div,8,Augusta County,Science,Male,86,84,84, 
Div,8,Augusta County,English: Reading,Students with Disabilities,31,29,34, 
Div,8,Augusta County,English: Writing,Students with Disabilities,28,22,38, 
Div,8,Augusta County,History and Social Sciences,Students with Disabilities,53,46,52, 
Div,8,Augusta County,Mathematics,Students with Disabilities,40,36,37, 
Div,8,Augusta County,Science,Students with Disabilities,44,44,46, 
Div,8,Augusta County,English: Reading,White,77,79,79, 
Div,8,Augusta County,English: Writing,White,74,78,80, 
Div,8,Augusta County,History and Social Sciences,White,89,89,88, 
Div,8,Augusta County,Mathematics,White,82,82,80, 
Div,8,Augusta County,Science,White,85,85,85, 
Div,9,Bath County,English: Reading,All Students,87,83,80, 
Div,9,Bath County,English: Writing,All Students,71,72,68, 
Div,9,Bath County,History and Social Sciences,All Students,82,87,77, 
Div,9,Bath County,Mathematics,All Students,87,84,80, 
Div,9,Bath County,Science,All Students,79,82,82, 
Div,9,Bath County,English: Reading,Asian,<,<,<, 
